id_producto,codigo_barras,nombre,descripcion,id_categoria,id_proveedor,precio_compra,precio_venta_sugerido,peso_gramos,dimensiones,fecha_introduccion
1,BP12345678,Labial Hidratante Rosé,Labial de larga duración con componentes hidratantes,1,1,8.5,18.99,15.5,2.5 x 2 x 8 cm,2023-03-15
2,KG87654321,Mascarilla Facial Rejuvenecedora,Mascarilla con colágeno y células madre,2,2,12.75,29.99,50,15 x 10 x 2 cm,2023-05-20
3,IS56781234,Aceite de Argán Premium,Aceite nutritivo para tratamiento capilar intensivo,3,3,15.3,34.99,120,5 x 5 x 12 cm,2023-02-10
4,UB98765432,Perfume Midnight Dream,Fragancia elegante con notas de jazmín y vainilla,4,4,32.5,75.99,200,8 x 8 x 15 cm,2023-04-05
5,JE23456789,Esmalte Gel Duradero,Esmalte de uñas de larga duración color cereza,5,5,6.75,14.99,30,3 x 3 x 8 cm,2023-06-12
6,BP56789012,Base de Maquillaje Natural,Base líquida de cobertura media con SPF 30,1,1,14.25,32.99,40,4 x 4 x 12 cm,2023-03-22
7,KG12309876,Suero Facial Vitamina C,Suero antioxidante para iluminar la piel,2,2,18.5,42.99,30,3 x 3 x 10 cm,2023-01-15
8,IS87612345,Champú Reparador Keratina,Champú profesional con keratina y aceites naturales,3,3,11.8,26.99,250,6 x 6 x 18 cm,2023-07-02
9,UB12398765,Delineador Ojos Waterproof,Delineador resistente al agua de alta pigmentación,1,4,7.9,17.99,10,1 x 1 x 14 cm,2023-05-18
10,JE87654321,Kit Manicura Profesional,Set completo de herramientas para manicura,6,5,24.6,54.99,350,20 x 15 x 5 cm,2023-02-28
